model,architecture,architecture_short,semantics,semantics_short,utterance_label,length_class,selection_class,order_class,n_conditions,r,mae,rmse,max_abs_residual
principled_salience_stop_regularized_2x2_glob_rec,global,glob,context_updating,rec,C,one_adjective,colour_only,single_adjective,6,0.8372194862118094,0.23094347355324096,0.29726716237382156,0.5421975083978688
principled_salience_stop_regularized_2x2_glob_rec,global,glob,context_updating,rec,CD,two_adjectives,size_colour,colour_initial_multi,6,-0.20982689715800867,0.02433980637100268,0.024965366859528514,0.03163550979000419
principled_salience_stop_regularized_2x2_glob_rec,global,glob,context_updating,rec,CDF,three_adjectives,redundant_form,colour_initial_multi,6,0.5919774013377321,0.01723614894456781,0.019721097082298654,0.028518695473216674
principled_salience_stop_regularized_2x2_glob_rec,global,glob,context_updating,rec,CF,two_adjectives,redundant_form,colour_initial_multi,6,0.8495044856595695,0.09655090344669788,0.11142065172448835,0.15423348033166873
principled_salience_stop_regularized_2x2_glob_rec,global,glob,context_updating,rec,CFD,three_adjectives,redundant_form,colour_initial_multi,6,0.26320713223224357,0.025286041340874043,0.02539559723088063,0.029556464878766363
principled_salience_stop_regularized_2x2_glob_rec,global,glob,context_updating,rec,D,one_adjective,size_only,single_adjective,6,0.9516434411960427,0.05541078012588193,0.09352926240004662,0.22378588004959005
principled_salience_stop_regularized_2x2_glob_rec,global,glob,context_updating,rec,DC,two_adjectives,size_colour,size_initial_multi,6,0.0935935864756204,0.13241527790096452,0.1487265264315819,0.21244232050327055
principled_salience_stop_regularized_2x2_glob_rec,global,glob,context_updating,rec,DCF,three_adjectives,redundant_form,size_initial_multi,6,0.9462330530383538,0.12248822762782864,0.12747547610684262,0.1487579919237062
principled_salience_stop_regularized_2x2_glob_rec,global,glob,context_updating,rec,DF,two_adjectives,redundant_form,size_initial_multi,6,0.8792733509232827,0.08934289679404848,0.12305803976943562,0.2673908835308184
principled_salience_stop_regularized_2x2_glob_rec,global,glob,context_updating,rec,DFC,three_adjectives,redundant_form,size_initial_multi,6,0.7755276761331651,0.06493375371879642,0.06531138328010586,0.07646942729973082
principled_salience_stop_regularized_2x2_glob_rec,global,glob,context_updating,rec,F,one_adjective,redundant_form,single_adjective,6,0.28727780829482275,0.040390397931058385,0.05263201097528713,0.08727352419187595
principled_salience_stop_regularized_2x2_glob_rec,global,glob,context_updating,rec,FC,two_adjectives,redundant_form,form_initial_multi,6,0.6366576574434899,0.03866656145980083,0.040072358238218586,0.05814106245683133
principled_salience_stop_regularized_2x2_glob_rec,global,glob,context_updating,rec,FCD,three_adjectives,redundant_form,form_initial_multi,6,0.6525111998203639,0.019389967886769093,0.01942438590681726,0.021738901025345366
principled_salience_stop_regularized_2x2_glob_rec,global,glob,context_updating,rec,FD,two_adjectives,redundant_form,form_initial_multi,6,-0.5553435220702115,0.016908601348831747,0.017592356706104238,0.022350273228405926
principled_salience_stop_regularized_2x2_glob_rec,global,glob,context_updating,rec,FDC,three_adjectives,redundant_form,form_initial_multi,6,0.40486251416470365,0.030438622878261757,0.03058027478600004,0.035174451302941605
principled_salience_stop_regularized_2x2_glob_static,global,glob,context_fixed,static,C,one_adjective,colour_only,single_adjective,6,0.8359501550033671,0.23114135280993633,0.2973211228376929,0.5422112105422852
principled_salience_stop_regularized_2x2_glob_static,global,glob,context_fixed,static,CD,two_adjectives,size_colour,colour_initial_multi,6,-0.2017654754474825,0.02427312081071475,0.024893476138488628,0.03153022632434418
principled_salience_stop_regularized_2x2_glob_static,global,glob,context_fixed,static,CDF,three_adjectives,redundant_form,colour_initial_multi,6,0.5840888920973766,0.017120824066581816,0.019649423657366792,0.028425532656334466
principled_salience_stop_regularized_2x2_glob_static,global,glob,context_fixed,static,CF,two_adjectives,redundant_form,colour_initial_multi,6,0.8493734906523537,0.09639122069057672,0.11121004995546083,0.15392345484512088
principled_salience_stop_regularized_2x2_glob_static,global,glob,context_fixed,static,CFD,three_adjectives,redundant_form,colour_initial_multi,6,0.27450896230669736,0.025296178913441197,0.025409399064121842,0.029710034280906975
principled_salience_stop_regularized_2x2_glob_static,global,glob,context_fixed,static,D,one_adjective,size_only,single_adjective,6,0.9525636557117568,0.055448976500587506,0.09355204305406599,0.22382309751610888
principled_salience_stop_regularized_2x2_glob_static,global,glob,context_fixed,static,DC,two_adjectives,size_colour,size_initial_multi,6,0.08540895605275985,0.13211253588846184,0.14853097839344917,0.21205775918287845
principled_salience_stop_regularized_2x2_glob_static,global,glob,context_fixed,static,DCF,three_adjectives,redundant_form,size_initial_multi,6,0.944915281062712,0.12252113731918884,0.12747438977725375,0.14877550263804742
principled_salience_stop_regularized_2x2_glob_static,global,glob,context_fixed,static,DF,two_adjectives,redundant_form,size_initial_multi,6,0.8758998769136903,0.08953875340012885,0.12327179769490967,0.26789831154587174
principled_salience_stop_regularized_2x2_glob_static,global,glob,context_fixed,static,DFC,three_adjectives,redundant_form,size_initial_multi,6,0.7719977785341574,0.06482524741347616,0.0652094188955986,0.07640955116727839
principled_salience_stop_regularized_2x2_glob_static,global,glob,context_fixed,static,F,one_adjective,redundant_form,single_adjective,6,0.27717235387913025,0.04039934428932339,0.052671861823311725,0.08747130411642366
principled_salience_stop_regularized_2x2_glob_static,global,glob,context_fixed,static,FC,two_adjectives,redundant_form,form_initial_multi,6,0.6407190809931519,0.03874346755880829,0.040124069468252324,0.058040282311237826
principled_salience_stop_regularized_2x2_glob_static,global,glob,context_fixed,static,FCD,three_adjectives,redundant_form,form_initial_multi,6,0.658620426672068,0.01936814166792886,0.019401917957246283,0.02170201744460219
principled_salience_stop_regularized_2x2_glob_static,global,glob,context_fixed,static,FD,two_adjectives,redundant_form,form_initial_multi,6,-0.6126651707994352,0.017201832766852825,0.017915407795704077,0.02285489050727283
principled_salience_stop_regularized_2x2_glob_static,global,glob,context_fixed,static,FDC,three_adjectives,redundant_form,form_initial_multi,6,0.40695906142887844,0.03042234561179293,0.03056343104943087,0.03517384303143874
principled_salience_stop_regularized_2x2_inc_rec,incremental,inc,context_updating,rec,C,one_adjective,colour_only,single_adjective,6,0.8581278565151381,0.19364422798623268,0.21881606067301104,0.3591735041981759
principled_salience_stop_regularized_2x2_inc_rec,incremental,inc,context_updating,rec,CD,two_adjectives,size_colour,colour_initial_multi,6,0.1405860151823857,0.009939907913299927,0.011765792066709345,0.019706989393183084
principled_salience_stop_regularized_2x2_inc_rec,incremental,inc,context_updating,rec,CDF,three_adjectives,redundant_form,colour_initial_multi,6,-0.3422510879726781,0.04047829025503564,0.05201261104396555,0.08978217732902831
principled_salience_stop_regularized_2x2_inc_rec,incremental,inc,context_updating,rec,CF,two_adjectives,redundant_form,colour_initial_multi,6,0.8533205160342668,0.08820426128155197,0.09642544164702486,0.15179491723975586
principled_salience_stop_regularized_2x2_inc_rec,incremental,inc,context_updating,rec,CFD,three_adjectives,redundant_form,colour_initial_multi,6,-0.3501987182120724,0.02578398000592882,0.03122352860248026,0.05417241476890066
principled_salience_stop_regularized_2x2_inc_rec,incremental,inc,context_updating,rec,D,one_adjective,size_only,single_adjective,6,0.733082428618378,0.056059358962586514,0.08658354773817405,0.2001334423526533
principled_salience_stop_regularized_2x2_inc_rec,incremental,inc,context_updating,rec,DC,two_adjectives,size_colour,size_initial_multi,6,0.5531778573449899,0.13550647664053495,0.14869337687135226,0.22604373107529915
principled_salience_stop_regularized_2x2_inc_rec,incremental,inc,context_updating,rec,DCF,three_adjectives,redundant_form,size_initial_multi,6,0.6928491139053334,0.09080958758717646,0.09669438627786624,0.14959017205667982
principled_salience_stop_regularized_2x2_inc_rec,incremental,inc,context_updating,rec,DF,two_adjectives,redundant_form,size_initial_multi,6,0.9272340307293742,0.0785152740462093,0.11121642161892709,0.24197693566321257
principled_salience_stop_regularized_2x2_inc_rec,incremental,inc,context_updating,rec,DFC,three_adjectives,redundant_form,size_initial_multi,6,0.5084908973408937,0.019940244917164843,0.029094983591152583,0.05823646526955743
principled_salience_stop_regularized_2x2_inc_rec,incremental,inc,context_updating,rec,F,one_adjective,redundant_form,single_adjective,6,0.18451372852338052,0.038569442611952935,0.05058001363922978,0.07977491768652901
principled_salience_stop_regularized_2x2_inc_rec,incremental,inc,context_updating,rec,FC,two_adjectives,redundant_form,form_initial_multi,6,0.8807352541518904,0.005328102719418449,0.00786964047856517,0.017948754025905463
principled_salience_stop_regularized_2x2_inc_rec,incremental,inc,context_updating,rec,FCD,three_adjectives,redundant_form,form_initial_multi,6,0.31711479874805976,0.0028440230722920554,0.003139298782423294,0.004563982945976223
principled_salience_stop_regularized_2x2_inc_rec,incremental,inc,context_updating,rec,FD,two_adjectives,redundant_form,form_initial_multi,6,0.7564860562331073,0.0023932779834187246,0.0029190463415765173,0.005722734969659543
principled_salience_stop_regularized_2x2_inc_rec,incremental,inc,context_updating,rec,FDC,three_adjectives,redundant_form,form_initial_multi,6,0.32329015218010404,0.003942907894811841,0.004427895902118361,0.006978064050062909
principled_salience_stop_regularized_2x2_inc_static,incremental,inc,context_fixed,static,C,one_adjective,colour_only,single_adjective,6,0.8589291018777447,0.19304970262041557,0.2182619166150177,0.35840946115482697
principled_salience_stop_regularized_2x2_inc_static,incremental,inc,context_fixed,static,CD,two_adjectives,size_colour,colour_initial_multi,6,0.11600860631776658,0.010000315886202994,0.011932428478812781,0.020151353538038083
principled_salience_stop_regularized_2x2_inc_static,incremental,inc,context_fixed,static,CDF,three_adjectives,redundant_form,colour_initial_multi,6,-0.34118556224720015,0.040331064438017185,0.051999323986818356,0.08969997877149734
principled_salience_stop_regularized_2x2_inc_static,incremental,inc,context_fixed,static,CF,two_adjectives,redundant_form,colour_initial_multi,6,0.8543073075443844,0.08837551637603636,0.09653498577864351,0.1519290829949102
principled_salience_stop_regularized_2x2_inc_static,incremental,inc,context_fixed,static,CFD,three_adjectives,redundant_form,colour_initial_multi,6,-0.35162178064313243,0.025665265521329566,0.03116674586760822,0.05407005431195902
principled_salience_stop_regularized_2x2_inc_static,incremental,inc,context_fixed,static,D,one_adjective,size_only,single_adjective,6,0.7297531455186117,0.056111830862114305,0.0865873867038068,0.2000907124808854
principled_salience_stop_regularized_2x2_inc_static,incremental,inc,context_fixed,static,DC,two_adjectives,size_colour,size_initial_multi,6,0.556823013371195,0.13544513957409213,0.14852773612212286,0.22520212968304085
principled_salience_stop_regularized_2x2_inc_static,incremental,inc,context_fixed,static,DCF,three_adjectives,redundant_form,size_initial_multi,6,0.6954088686774513,0.09055789201887511,0.09648391819124935,0.14996897835101541
principled_salience_stop_regularized_2x2_inc_static,incremental,inc,context_fixed,static,DF,two_adjectives,redundant_form,size_initial_multi,6,0.9283596844644116,0.07786982440257266,0.11037608951617507,0.24031488220233108
principled_salience_stop_regularized_2x2_inc_static,incremental,inc,context_fixed,static,DFC,three_adjectives,redundant_form,size_initial_multi,6,0.5021837620112404,0.020305683124892625,0.02953209380528114,0.059216638786584105
principled_salience_stop_regularized_2x2_inc_static,incremental,inc,context_fixed,static,F,one_adjective,redundant_form,single_adjective,6,0.18306884147461808,0.03854493823099986,0.05060254842877873,0.07998437229428072
principled_salience_stop_regularized_2x2_inc_static,incremental,inc,context_fixed,static,FC,two_adjectives,redundant_form,form_initial_multi,6,0.8810332214213222,0.005393189283800563,0.007909913483428978,0.01796207058221789
principled_salience_stop_regularized_2x2_inc_static,incremental,inc,context_fixed,static,FCD,three_adjectives,redundant_form,form_initial_multi,6,0.3596595863173916,0.0028234988184632514,0.003111152075666336,0.00453282476304147
principled_salience_stop_regularized_2x2_inc_static,incremental,inc,context_fixed,static,FD,two_adjectives,redundant_form,form_initial_multi,6,0.6543975426995208,0.0023999864039593046,0.0029717207359840838,0.005930519368144389
principled_salience_stop_regularized_2x2_inc_static,incremental,inc,context_fixed,static,FDC,three_adjectives,redundant_form,form_initial_multi,6,0.29572346460473703,0.003971727252216534,0.004441979839501854,0.007114122931014339
